Area Code,Area Code (old),Area Name,Numerator,Denominator,Indicator Value
E05002078,00HGMX,Budshead,      901,"   12,778",      7.1
E05002079,00HGMY,Compton,      589,"   12,677",      4.6
E05002080,00HGMZ,Devonport,"    1,162","   14,788",      7.9
E05002081,00HGNA,Drake,      431,"   11,149",      3.9
E05002082,00HGNB,Efford and Lipson,      926,"   14,092",      6.6
E05002083,00HGNC,Eggbuckland,      808,"   13,351",      6.1
E05002084,00HGND,Ham,"    1,172","   13,294",      8.8
E05002085,00HGNE,Honicknowle,"    1,319","   13,939",      9.5
E05002086,00HGNF,Moor View,      925,"   11,768",      7.9
E05002087,00HGNG,Peverell,      551,"   13,553",      4.1
E05002088,00HGNH,Plympton Chaddlewood,      313,"    8,190",      3.8
E05002089,00HGNJ,Plympton Erle,      541,"    8,853",      6.1
E05002090,00HGNK,Plympton St Mary,      650,"   12,856",      5.1
E05002091,00HGNL,Plymstock Dunstone,      615,"   12,278",      5.0
E05002092,00HGNM,Plymstock Radford,      673,"   12,480",      5.4
E05002093,00HGNN,St Budeaux,"    1,088","   13,369",      8.1
E05002094,00HGNP,St Peter and the Waterfront,"    1,464","   15,785",      9.3
E05002095,00HGNQ,Southway,      916,"   13,029",      7.0
E05002096,00HGNR,Stoke,      817,"   13,861",      5.9
E05002097,00HGNS,Sutton and Mount Gould,      835,"   14,294",      5.8
E06000028,00HN,Bournemouth UA,"   10,410","  183,491",      5.7
E06000023,00HB,Bristol UA,"   23,481","  428,234",      5.5
E06000043,00ML,Brighton and Hove UA,"   14,428","  273,369",      5.3
E08000035,00DA,Leeds MCD,"   40,652","  751,485",      5.4
E06000044,00MR,Portsmouth UA,"   10,354","  205,056",      5.0
E08000012,00BY,Liverpool MCD,"   40,884","  466,415",      8.8
E08000019,00CG,Sheffield MCD,"   34,372","  552,698",      6.2
E06000045,00MS,Southampton UA,"   12,071","  236,882",      5.1
E08000021,00CJ,Newcastle upon Tyne MCD,"   19,130","  280,177",      6.8
E08000006,00BR,Salford MCD,"   17,710","  233,933",      7.6
E06000026,00HG,Plymouth UA,"   16,696","  256,384",      6.5
E92000001,,England,"2,911,195","53,012,456",      5.5
