Area Name,Indicator Value,LCI,UCI
Budshead,52.9,45.9,60.8
Compton,54.7,47.2,62.9
Devonport,52.8,45.0,61.7
Drake,43.6,34.3,54.6
Efford and Lipson,47.6,40.4,55.5
Eggbuckland,52.8,45.8,60.6
Ham,58.5,50.9,66.9
Honicknowle,70.8,62.4,80.1
Moor View,49.4,42.7,56.9
Peverell,47.5,40.7,55.1
Plympton Chaddlewood,31.1,22.5,41.9
Plympton Erle,56.7,48.5,65.9
Plympton St Mary,51.7,45.1,59.0
Plymstock Dunstone,48.6,42.3,55.5
Plymstock Radford,56.5,49.3,64.3
Southway,67.4,58.7,77.0
St Budeaux,56.5,48.0,66.1
St Peter and the Waterfront,76.4,67.5,86.2
Stoke,55.7,48.5,63.6
Sutton and Mount Gould,51.9,44.1,60.7
Plymouth,55.1,53.4,56.9
