SOA (lower layer),Average of tot doc,Average of hcp,Average of nurse,Average of Grand Total,Count people
E01015055,3.0,0.8,1.0,5.5,42.0
E01015056,6.6,1.1,1.4,10.9,37.0
E01015057,3.8,0.3,1.3,6.2,12.0
E01015058,9.3,1.4,2.9,15.7,10.0
E01015059,5.3,0.5,0.8,7.7,32.0
E01015060,5.9,0.5,0.9,8.5,14.0
E01015066,8.5,0.2,1.5,11.5,13.0
E01015067,5.4,1.1,1.2,9.2,13.0
E01015069,4.8,0.3,0.9,6.3,19.0
E01015089,6.4,0.4,1.0,8.4,11.0
E01015090,5.3,0.6,0.9,7.9,10.0
E01015091,4.2,0.9,1.4,7.3,49.0
E01015094,5.0,0.3,1.1,7.3,15.0
E01015095,4.8,1.3,2.9,10.1,105.0
E01015096,5.5,1.0,1.4,9.2,99.0
E01015097,4.0,0.4,0.3,6.0,10.0
E01015102,5.3,0.5,0.4,6.8,10.0
E01015107,4.1,0.4,1.2,6.4,1121.0
E01015108,3.8,0.5,1.2,6.2,927.0
E01015109,4.5,0.4,1.0,6.6,1134.0
E01015110,3.6,0.5,1.0,5.9,1080.0
E01015111,4.5,0.4,1.0,6.6,1136.0
E01015112,4.0,0.6,1.0,6.2,922.0
E01015113,4.1,0.7,1.3,7.0,898.0
E01015114,4.0,0.6,1.2,6.6,978.0
E01015115,5.5,0.9,1.6,9.1,902.0
E01015116,4.2,0.6,1.2,6.8,953.0
E01015117,4.3,0.5,1.0,6.7,1048.0
E01015118,4.1,0.6,1.0,6.6,925.0
E01015119,3.4,0.4,1.0,5.4,784.0
E01015120,4.2,0.6,1.0,6.5,918.0
E01015121,4.2,0.9,1.2,7.4,860.0
E01015122,4.1,0.6,1.2,6.7,1005.0
E01015123,5.1,0.7,1.1,7.6,946.0
E01015124,4.2,0.8,1.3,7.4,785.0
E01015125,3.9,0.7,1.1,6.7,742.0
E01015126,4.3,0.5,0.6,6.1,14.0
E01015127,5.5,0.8,0.9,7.9,17.0
E01015128,4.0,1.2,1.1,7.1,13.0
E01015131,3.3,0.3,0.8,4.9,28.0
E01015132,3.6,0.0,0.6,4.9,11.0
E01015133,2.6,0.3,1.1,4.5,29.0
E01015135,4.2,0.6,1.2,6.9,26.0
E01015137,5.7,0.5,1.5,7.8,13.0
E01015138,9.7,0.3,0.6,11.8,15.0
E01020143,5.1,0.3,0.9,6.7,32.0
E01020145,3.7,0.9,1.8,6.8,676.0
E01020148,3.4,0.4,0.9,5.5,950.0
E01020149,3.8,0.5,1.1,6.1,877.0
E01020157,2.7,0.1,0.4,3.8,12.0
E01020158,3.5,0.2,0.9,5.3,29.0
E01020159,3.9,0.4,1.4,6.4,441.0
E01020160,3.8,0.4,1.1,6.1,946.0
E01020161,5.0,0.5,1.3,7.3,1689.0
E01020162,4.1,0.4,0.9,6.0,1259.0
E01020163,3.8,0.4,1.1,6.0,1397.0
E01020164,4.5,0.5,1.0,6.6,1202.0
E01020165,3.9,0.3,1.0,5.9,1070.0
E01020166,4.3,0.4,1.0,6.5,1054.0
E01020167,3.8,0.3,1.3,6.2,984.0
E01020176,3.6,0.2,0.6,5.0,21.0
E01020177,7.5,1.0,1.4,10.8,13.0
E01020187,4.7,0.9,1.1,7.4,34.0
E01020190,2.3,0.1,0.3,2.9,27.0
Grand Total,4.2,0.5,1.1,6.6,31740.0
