Name of Breastfeeding Friendly Place,Number,House Number and Road,,Town City,Postcode,Phone Number
1st Stop,71,New George Street,,Plymouth,PL1 1RF,01752 668000
Al's Kitchen,10,Thornbury Road,Estover,Plymouth,PL6 7PP,01752 692263
Blue Bear Deli,21,Bilbury Street,,Plymouth,PL4 0BH,01752 604715
Brickfields,,Madden Road,Devonport,Plymouth,PL1 4NE,01752 563320
Burger King,5,Drakes Circus Shopping Centre,,Plymouth,PL1 1EA,01752 664806
The Cabin Childcare centre - YMCA,,Honicknowle Lane,,Plymouth,PL5 3NG,01752 761015
Curious Kittens Nursery City College,,City College Kings Road Centre Kings Road,Devonport,Plymouth,PL1 5QG,01752 305060
Curious Kittens Nursery City College,,City College Goschen Centre Saltash Road,Keyham,Plymouth,PL2 2DP,01752 305060
Dartmoor Zoological Park,,Sparkwell,,Plymouth,PL7 5DG,01752 837645
Debenhams,,Royal Parade,,Plymouth,PL1 1SA,01752 275001
Eva's World,146,Cornwall Street ,,Plymouth,PL1 1NJ,01752 600843
First Buses,,Devon and Cornwall,,Plymouth,,08456 001420
Fort Stamford Health and Fitness,,Mount Batten,,Plymouth,PL9 9TU,01752 407999
Forty Five,48,Ebrington Street,,Plymouth,PL4 9AD,01752 265545
House of Fraser,40-16,Royal Parade,,Plymouth,PL1 1DY,01752 266611
Il Pezzettino,27,Devonport Road Stoke,,Plymouth,PL3 4DJ,
Irene's Pantry,147,Stall 147,,Plymouth,PL1 1PR,01752 516097
Jakes Limited,85,Cornwall Street,,Plymouth,PL1 1NX,01752 222523
Jasmins,81-83 ,"Ridgeway,",Plympton,Plymouth,PL7 2AA,01752 340300
Jennycliff Café,,Hooe,Plymstock,Plymouth,PL9 9SW,01752 402358
123 Jump Ltd,,Christian Mill Business Park Tamerton Foliot Road,Crownhill,Plymouth,PL6 5DS,01752 782415
Meet and Eat Café,,Healthy Living Centre Scott Hospital Becon Park Road,,Plymouth,PL2 2PQ,01752 251252
Monty's,13,The Barbican,,Plymouth,PL1 2LS,01752 252887
Mothercare,,"Drake Circus, Lower Mall",,Plymouth,PL1 1EA,01752 675730
Mount Edgcumbe House and Country Park,,Stables and Orangery Restaurants,Cremyll,Torpoint,PL10 1HZ,01752 822236
Mount Wise Swimming Pool,,James Street,Devonport,Plymouth,PL1 4HG,01752 306265
National Trust,,The Park Restaurant,Saltram,Plymouth,PL7 1UH,01752 333523
National Marine Aquarium,,The Barbican,,Plymouth,PL4 0DX,01752 600301
Plymbridge Nursery School and Children's Centre,,Miller Way,Estover,Plymouth,PL6 8UN,01752 786444
Plymouth CityBus,,,Milehouse,Plymouth,PL3 4AA,01752 264202
Plymouth City Museum and Art Gallery Shop/Café,,Drakes Circus,,Plymouth,PL4 8AJ,01752 304774
Plymouth Gin -The Refectory Lounge Bar,60,Southside Street,Barbican,Plymouth,PL1 2LQ,01752 665292
Plymouth Life Centre,40,Mayflower Drive,,Plymouth,PL2 3DG,01752 606900
Plympton Pool,,Harewood Park,Plympton,Plymouth,PL7 2AS,01752 348459
Rock a Tots Day Nursery,1a,"St Peters Road,",Crownhill,Plymouth,PL5 3DE,01752 777444
Sainsbury's Superstore,,Plymouth Road Marsh Mills,Crabtree,Plymouth,PL3 6RL,01752 222748
Samphire Brasserie,111,Mayflower Street,,Plymouth,PL1 1SD,01752 263116
Starbucks,113,Amarda Way Drake Circus Lower Mall,,Plymouth,PL1 1EA,01752 220237
St Paul's Preschool,,Barne Lane,St Budeaux,Plymouth,PL5 1NE,01752 517473
Stroll-on-baby,26,Western Approach,,Plymouth,PL1 1TQ,07808 773570
Tinside Lido,,Hoe Road,,Plymouth,PL1 3DE,07808 261915
Tesco's,,Transit Way,,Plymouth,PL5 3TW,0845 677 9550
The Stannary Court ,95-99,Ridgeway,Plympton,Plymouth,PL7 1AA,01752 283280
Theatre Royal,,Royal Parade,,Plymouth,PL1 2TR,01752 267222
The Gog and Magog,57-59,"Southside Street, The Barbican",,Plymouth,PL1 2LA,01752 267222
The Royal Oak,,Lake Road,Hooe,Plymouth,PL9 9QY,01752 512900
Tudor Rose Tea Rooms,36,New Road,,Plymouth,PL1 2NE,01752 255502
Waterstones,1,"Charles Street, Drake Circus Lower Mall",,Plymouth,PL1 1EA,01752 669898
Welcome Hall,4,Fore Street,Devonport,Plymouth,PL1 4DW,01752 606317
